case_id,case_type,court_name,ipc_section,duration_months,evidence_strength_score,prior_offenses,claimed_amount_inr,predicted_win_probability,case_outcome
CAS-2026-1212,Property Dispute,District & Sessions Court,IT Act 66D,9,0.92,1,7789262,45.2,Injunction Issued
CAS-2026-1213,Cyber Fraud,Delhi High Court,IPC 420 (Cheating),27,0.29,1,3609163,60.7,Bail Granted
CAS-2026-1214,Cheque Bounce u/s 138,Madras High Court,IPC 307 (Attempt to Murder),34,0.47,0,6925711,71.3,Case Dismissed
CAS-2026-1215,Bail Application,Bombay High Court,IPC 120B (Criminal Conspiracy),1,0.11,0,1361402,61.2,Bail Granted
CAS-2026-1216,Cyber Fraud,Karnataka High Court,IPC 420 (Cheating),32,0.86,0,9855459,50.6,Case Dismissed
CAS-2026-1217,Contract Violation,Madras High Court,IPC 379 (Theft),25,0.75,1,2226028,67.1,Case Dismissed
CAS-2026-1218,Bail Application,Bombay High Court,IPC 120B (Criminal Conspiracy),29,0.94,0,3085032,57.7,Injunction Issued
CAS-2026-1219,Bail Application,Bombay High Court,IPC 307 (Attempt to Murder),7,0.8,0,3177195,90.5,Settlement Agreed
CAS-2026-1220,Bail Application,Supreme Court of India,IPC 307 (Attempt to Murder),3,0.38,0,2426344,50.1,Bail Denied
CAS-2026-1221,Criminal Breach of Trust,Karnataka High Court,IPC 498A (Cruelty),20,0.32,0,6203807,47.5,Bail Denied
CAS-2026-1222,Contract Violation,Supreme Court of India,IPC 120B (Criminal Conspiracy),20,0.72,1,1176837,45.3,Bail Denied
CAS-2026-1223,Bail Application,Delhi High Court,IPC 498A (Cruelty),30,0.42,0,7546633,61.4,Settlement Agreed
CAS-2026-1224,Cheque Bounce u/s 138,Supreme Court of India,IPC 420 (Cheating),35,0.6,0,5817467,78.0,Bail Granted
CAS-2026-1225,Divorce & Maintenance,Supreme Court of India,NI Act 138 (Cheque Bounce),35,0.11,0,1729040,81.5,Bail Denied
CAS-2026-1226,Bail Application,Madras High Court,NI Act 138 (Cheque Bounce),39,0.16,0,3763289,67.7,Bail Granted
CAS-2026-1227,Criminal Breach of Trust,District & Sessions Court,NI Act 138 (Cheque Bounce),27,0.58,0,3016596,79.2,Settlement Agreed
CAS-2026-1228,Cyber Fraud,Bombay High Court,IPC 120B (Criminal Conspiracy),26,0.6,3,8066473,63.0,Settlement Agreed
CAS-2026-1229,Contract Violation,Karnataka High Court,NI Act 138 (Cheque Bounce),14,0.77,1,6285941,78.4,Injunction Issued
CAS-2026-1230,Criminal Breach of Trust,Supreme Court of India,IPC 420 (Cheating),17,0.22,0,4227436,47.0,Bail Denied
CAS-2026-1231,Bail Application,Karnataka High Court,IPC 498A (Cruelty),18,0.56,0,4966940,64.5,Injunction Issued
CAS-2026-1232,Contract Violation,District & Sessions Court,IPC 120B (Criminal Conspiracy),45,0.27,1,3562511,84.5,Bail Denied
CAS-2026-1233,Divorce & Maintenance,District & Sessions Court,IPC 498A (Cruelty),29,0.18,0,484083,85.2,Settlement Agreed
CAS-2026-1234,Bail Application,Supreme Court of India,IPC 120B (Criminal Conspiracy),20,0.47,0,9020206,80.8,Settlement Agreed
CAS-2026-1235,Criminal Breach of Trust,Delhi High Court,IPC 498A (Cruelty),27,0.25,1,5707968,55.2,Case Dismissed
CAS-2026-1236,Property Dispute,Supreme Court of India,IPC 307 (Attempt to Murder),18,0.3,1,6869552,57.4,Case Dismissed
CAS-2026-1237,Cheque Bounce u/s 138,Madras High Court,IPC 498A (Cruelty),4,0.38,3,9154860,94.8,Settlement Agreed
CAS-2026-1238,Cyber Fraud,Bombay High Court,NI Act 138 (Cheque Bounce),1,0.33,2,3150798,50.2,Settlement Agreed
CAS-2026-1239,Criminal Breach of Trust,Delhi High Court,IPC 307 (Attempt to Murder),1,0.18,1,2636047,54.0,Bail Granted
CAS-2026-1240,Contract Violation,Supreme Court of India,IPC 498A (Cruelty),26,0.18,0,6564143,51.5,Bail Granted
CAS-2026-1241,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),45,0.27,0,3354992,61.4,Injunction Issued
CAS-2026-1242,Cheque Bounce u/s 138,Delhi High Court,IPC 120B (Criminal Conspiracy),20,0.14,0,4897663,55.5,Case Dismissed
CAS-2026-1243,Bail Application,Delhi High Court,IPC 120B (Criminal Conspiracy),23,0.66,0,9184970,69.9,Case Dismissed
CAS-2026-1244,Contract Violation,Supreme Court of India,IPC 379 (Theft),10,0.36,0,6369191,68.8,Settlement Agreed
CAS-2026-1245,Bail Application,Delhi High Court,IPC 420 (Cheating),11,0.35,0,3635443,90.1,Settlement Agreed
CAS-2026-1246,Property Dispute,Karnataka High Court,IPC 120B (Criminal Conspiracy),41,0.4,0,2032303,46.7,Injunction Issued
CAS-2026-1247,Cheque Bounce u/s 138,District & Sessions Court,IPC 307 (Attempt to Murder),41,0.69,0,2851821,61.0,Case Dismissed
CAS-2026-1248,Cheque Bounce u/s 138,Delhi High Court,IPC 120B (Criminal Conspiracy),5,0.87,0,7414895,74.8,Bail Granted
CAS-2026-1249,Contract Violation,District & Sessions Court,IPC 379 (Theft),1,0.78,0,6625940,75.2,Bail Denied
CAS-2026-1250,Cyber Fraud,Karnataka High Court,NI Act 138 (Cheque Bounce),17,0.75,0,526941,69.0,Injunction Issued
CAS-2026-1251,Property Dispute,Supreme Court of India,IPC 307 (Attempt to Murder),22,0.53,1,4950224,85.8,Bail Denied
CAS-2026-1252,Criminal Breach of Trust,Bombay High Court,IPC 379 (Theft),34,0.72,0,486354,48.1,Bail Granted
CAS-2026-1253,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),45,0.59,0,5606336,85.8,Bail Granted
CAS-2026-1254,Divorce & Maintenance,Bombay High Court,IT Act 66D,41,0.29,1,1035709,69.7,Bail Denied
CAS-2026-1255,Bail Application,Karnataka High Court,IT Act 66D,29,0.29,0,2585178,51.7,Injunction Issued
CAS-2026-1256,Bail Application,Delhi High Court,IPC 307 (Attempt to Murder),4,0.36,0,6479022,89.3,Bail Denied
CAS-2026-1257,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),5,0.91,0,5577630,77.5,Injunction Issued
CAS-2026-1258,Bail Application,Madras High Court,IPC 420 (Cheating),11,0.59,0,6388893,53.2,Injunction Issued
CAS-2026-1259,Property Dispute,Bombay High Court,IPC 420 (Cheating),21,0.75,2,2185469,46.7,Settlement Agreed
CAS-2026-1260,Property Dispute,Delhi High Court,IPC 379 (Theft),35,0.41,0,1446365,52.1,Case Dismissed
CAS-2026-1261,Cheque Bounce u/s 138,Bombay High Court,NI Act 138 (Cheque Bounce),12,0.46,0,1236078,75.4,Case Dismissed
CAS-2026-1262,Contract Violation,Delhi High Court,IPC 420 (Cheating),26,0.21,0,8975206,54.0,Bail Granted
CAS-2026-1263,Cyber Fraud,Supreme Court of India,NI Act 138 (Cheque Bounce),19,0.25,0,6162825,56.3,Settlement Agreed
CAS-2026-1264,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),45,0.84,0,633037,46.3,Case Dismissed
CAS-2026-1265,Bail Application,Bombay High Court,IPC 379 (Theft),7,0.62,0,9073541,81.1,Injunction Issued
CAS-2026-1266,Bail Application,Madras High Court,IPC 379 (Theft),47,0.4,0,8702541,85.5,Injunction Issued
CAS-2026-1267,Criminal Breach of Trust,Madras High Court,IPC 379 (Theft),7,0.81,0,9490328,84.8,Bail Denied
CAS-2026-1268,Contract Violation,Karnataka High Court,IPC 420 (Cheating),26,0.32,0,527709,51.4,Bail Denied
CAS-2026-1269,Property Dispute,Delhi High Court,IT Act 66D,40,0.97,0,8744147,90.2,Injunction Issued
CAS-2026-1270,Divorce & Maintenance,Bombay High Court,IPC 379 (Theft),5,0.41,0,7452245,78.6,Injunction Issued
CAS-2026-1271,Cheque Bounce u/s 138,Karnataka High Court,IPC 420 (Cheating),21,0.4,1,1850866,89.9,Bail Denied
CAS-2026-1272,Property Dispute,Bombay High Court,IPC 379 (Theft),14,0.38,0,3877173,67.4,Case Dismissed
CAS-2026-1273,Contract Violation,Delhi High Court,IPC 120B (Criminal Conspiracy),4,0.21,0,6333107,66.8,Bail Granted
CAS-2026-1274,Cyber Fraud,Madras High Court,NI Act 138 (Cheque Bounce),23,0.2,0,5375463,84.2,Bail Denied
CAS-2026-1275,Cheque Bounce u/s 138,Supreme Court of India,IPC 379 (Theft),42,0.68,0,4947384,49.7,Case Dismissed
CAS-2026-1276,Cyber Fraud,Madras High Court,IPC 307 (Attempt to Murder),20,0.88,1,6471400,71.0,Case Dismissed
CAS-2026-1277,Criminal Breach of Trust,Karnataka High Court,NI Act 138 (Cheque Bounce),15,0.8,0,5334748,86.8,Case Dismissed
CAS-2026-1278,Criminal Breach of Trust,District & Sessions Court,NI Act 138 (Cheque Bounce),45,0.23,1,8500728,86.5,Settlement Agreed
CAS-2026-1279,Bail Application,Supreme Court of India,IPC 379 (Theft),29,0.59,0,724135,92.8,Settlement Agreed
CAS-2026-1280,Cyber Fraud,Karnataka High Court,IT Act 66D,8,0.19,1,4917167,79.9,Case Dismissed
CAS-2026-1281,Contract Violation,Delhi High Court,IPC 498A (Cruelty),41,0.14,0,7831445,55.4,Injunction Issued
CAS-2026-1282,Divorce & Maintenance,Supreme Court of India,IT Act 66D,19,0.68,1,6930707,46.0,Settlement Agreed
CAS-2026-1283,Cheque Bounce u/s 138,Karnataka High Court,IPC 379 (Theft),39,0.58,0,6206428,69.0,Bail Denied
CAS-2026-1284,Property Dispute,Delhi High Court,NI Act 138 (Cheque Bounce),46,0.17,0,4845920,70.7,Settlement Agreed
CAS-2026-1285,Contract Violation,Madras High Court,IPC 307 (Attempt to Murder),28,0.13,0,7262517,57.0,Injunction Issued
CAS-2026-1286,Contract Violation,District & Sessions Court,NI Act 138 (Cheque Bounce),46,0.98,0,5888773,51.2,Bail Granted
CAS-2026-1287,Criminal Breach of Trust,Delhi High Court,IT Act 66D,27,0.13,3,7617475,74.3,Settlement Agreed
CAS-2026-1288,Cyber Fraud,Bombay High Court,IPC 307 (Attempt to Murder),4,0.5,0,7023985,83.2,Case Dismissed
CAS-2026-1289,Bail Application,Delhi High Court,IPC 420 (Cheating),15,0.55,0,9322638,94.7,Case Dismissed
CAS-2026-1290,Bail Application,Delhi High Court,IPC 120B (Criminal Conspiracy),35,0.2,0,6201570,82.9,Case Dismissed
CAS-2026-1291,Cheque Bounce u/s 138,District & Sessions Court,NI Act 138 (Cheque Bounce),37,0.25,0,8132304,84.7,Bail Granted
CAS-2026-1292,Criminal Breach of Trust,Bombay High Court,IPC 379 (Theft),1,0.41,0,2366598,75.8,Injunction Issued
CAS-2026-1293,Contract Violation,Karnataka High Court,IPC 420 (Cheating),3,0.78,0,1876238,94.3,Bail Denied
CAS-2026-1294,Divorce & Maintenance,Karnataka High Court,IPC 120B (Criminal Conspiracy),47,0.55,0,8551392,77.0,Injunction Issued
CAS-2026-1295,Criminal Breach of Trust,Delhi High Court,IPC 379 (Theft),24,0.67,2,5227736,88.0,Bail Granted
CAS-2026-1296,Cheque Bounce u/s 138,Bombay High Court,IPC 498A (Cruelty),27,0.98,0,5997162,92.3,Case Dismissed
CAS-2026-1297,Cheque Bounce u/s 138,Bombay High Court,IPC 379 (Theft),40,0.78,0,6608676,91.5,Injunction Issued
CAS-2026-1298,Criminal Breach of Trust,District & Sessions Court,IPC 307 (Attempt to Murder),36,0.49,1,5010662,64.1,Bail Denied
CAS-2026-1299,Cheque Bounce u/s 138,Madras High Court,IPC 307 (Attempt to Murder),34,0.5,0,2095127,48.9,Case Dismissed
CAS-2026-1300,Criminal Breach of Trust,Karnataka High Court,IPC 498A (Cruelty),29,0.65,0,7876604,53.6,Bail Denied
CAS-2026-1301,Property Dispute,District & Sessions Court,IPC 420 (Cheating),24,0.69,0,9997442,48.0,Settlement Agreed
CAS-2026-1302,Criminal Breach of Trust,Supreme Court of India,IPC 120B (Criminal Conspiracy),24,0.55,0,1135108,50.3,Bail Denied
CAS-2026-1303,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),42,0.67,0,578365,54.2,Case Dismissed
CAS-2026-1304,Criminal Breach of Trust,District & Sessions Court,IPC 307 (Attempt to Murder),4,0.12,1,5256371,62.1,Settlement Agreed
CAS-2026-1305,Cheque Bounce u/s 138,Karnataka High Court,IPC 420 (Cheating),3,0.48,0,2174242,72.2,Case Dismissed
CAS-2026-1306,Cyber Fraud,Madras High Court,IPC 498A (Cruelty),34,0.35,0,5332761,80.6,Case Dismissed
CAS-2026-1307,Cheque Bounce u/s 138,Supreme Court of India,IT Act 66D,23,0.21,1,5222969,55.5,Settlement Agreed
CAS-2026-1308,Bail Application,Madras High Court,NI Act 138 (Cheque Bounce),23,0.19,2,594209,78.6,Bail Denied
CAS-2026-1309,Bail Application,Supreme Court of India,IT Act 66D,45,0.64,0,9102006,80.2,Bail Granted
CAS-2026-1310,Cyber Fraud,Delhi High Court,IT Act 66D,5,0.57,0,1634230,72.9,Bail Granted
CAS-2026-1311,Property Dispute,District & Sessions Court,IPC 307 (Attempt to Murder),31,0.33,0,6656410,90.2,Bail Granted
CAS-2026-1312,Bail Application,Supreme Court of India,IPC 498A (Cruelty),41,0.52,2,5551151,50.5,Bail Granted
CAS-2026-1313,Criminal Breach of Trust,Madras High Court,IPC 379 (Theft),6,0.54,1,951980,53.9,Injunction Issued
CAS-2026-1314,Cheque Bounce u/s 138,Karnataka High Court,IT Act 66D,37,0.27,0,1866299,66.4,Bail Granted
CAS-2026-1315,Bail Application,Supreme Court of India,IT Act 66D,10,0.68,0,4120018,51.3,Settlement Agreed
CAS-2026-1316,Bail Application,District & Sessions Court,IPC 120B (Criminal Conspiracy),40,0.8,0,6791891,73.3,Bail Granted
CAS-2026-1317,Property Dispute,Supreme Court of India,IPC 307 (Attempt to Murder),7,0.8,1,6986608,64.9,Case Dismissed
CAS-2026-1318,Cyber Fraud,Bombay High Court,IPC 307 (Attempt to Murder),39,0.64,0,7558403,59.2,Bail Granted
CAS-2026-1319,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),38,0.56,0,1762656,53.5,Bail Denied
CAS-2026-1320,Contract Violation,District & Sessions Court,NI Act 138 (Cheque Bounce),21,0.15,3,4994097,61.8,Settlement Agreed
CAS-2026-1321,Property Dispute,District & Sessions Court,IPC 420 (Cheating),20,0.36,0,5409068,75.4,Settlement Agreed
CAS-2026-1322,Criminal Breach of Trust,Delhi High Court,IPC 120B (Criminal Conspiracy),3,0.18,0,9723207,73.8,Injunction Issued
CAS-2026-1323,Cyber Fraud,Madras High Court,IPC 307 (Attempt to Murder),22,0.96,0,5056780,53.2,Case Dismissed
CAS-2026-1324,Cheque Bounce u/s 138,Delhi High Court,IPC 120B (Criminal Conspiracy),47,0.22,0,9049454,51.2,Settlement Agreed
CAS-2026-1325,Property Dispute,District & Sessions Court,IPC 307 (Attempt to Murder),4,0.24,0,4423242,46.3,Bail Denied
CAS-2026-1326,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),28,0.89,0,9683915,45.6,Bail Granted
CAS-2026-1327,Cheque Bounce u/s 138,Supreme Court of India,IPC 498A (Cruelty),12,0.94,0,2971712,89.0,Settlement Agreed
CAS-2026-1328,Cheque Bounce u/s 138,Supreme Court of India,IT Act 66D,38,0.78,1,7003538,47.3,Bail Denied
CAS-2026-1329,Bail Application,Karnataka High Court,IPC 307 (Attempt to Murder),36,0.1,0,955656,81.6,Bail Granted
CAS-2026-1330,Property Dispute,District & Sessions Court,IPC 120B (Criminal Conspiracy),47,0.1,0,6917123,88.6,Injunction Issued
CAS-2026-1331,Bail Application,Supreme Court of India,IPC 420 (Cheating),41,0.44,0,3666568,49.9,Settlement Agreed
CAS-2026-1332,Contract Violation,Supreme Court of India,IPC 498A (Cruelty),5,0.23,1,4779020,66.8,Settlement Agreed
CAS-2026-1333,Cheque Bounce u/s 138,Supreme Court of India,IPC 498A (Cruelty),13,0.12,1,1892363,93.1,Bail Denied
CAS-2026-1334,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),23,0.51,0,738922,86.7,Case Dismissed
CAS-2026-1335,Divorce & Maintenance,Madras High Court,IPC 120B (Criminal Conspiracy),30,0.94,0,877867,69.5,Injunction Issued
CAS-2026-1336,Criminal Breach of Trust,Bombay High Court,IPC 379 (Theft),37,0.39,0,3166461,83.1,Case Dismissed
CAS-2026-1337,Cyber Fraud,Delhi High Court,IPC 420 (Cheating),25,0.69,0,5856911,86.7,Settlement Agreed
CAS-2026-1338,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),27,0.68,0,1802424,62.4,Case Dismissed
CAS-2026-1339,Bail Application,Karnataka High Court,IPC 420 (Cheating),14,0.32,1,4275252,89.6,Bail Granted
CAS-2026-1340,Criminal Breach of Trust,Karnataka High Court,IPC 420 (Cheating),47,0.68,1,1285560,68.5,Injunction Issued
CAS-2026-1341,Criminal Breach of Trust,Bombay High Court,IPC 307 (Attempt to Murder),36,0.29,0,8116906,71.4,Case Dismissed
CAS-2026-1342,Criminal Breach of Trust,Madras High Court,IPC 120B (Criminal Conspiracy),39,0.21,1,6609887,95.0,Bail Granted
CAS-2026-1343,Cheque Bounce u/s 138,District & Sessions Court,IPC 379 (Theft),16,0.72,2,9434909,87.2,Bail Denied
CAS-2026-1344,Contract Violation,District & Sessions Court,IT Act 66D,22,0.2,0,967838,63.1,Case Dismissed
CAS-2026-1345,Bail Application,Bombay High Court,IPC 307 (Attempt to Murder),21,0.99,0,1157880,45.5,Injunction Issued
CAS-2026-1346,Cheque Bounce u/s 138,District & Sessions Court,IPC 420 (Cheating),21,0.26,2,3187714,76.3,Bail Granted
CAS-2026-1347,Criminal Breach of Trust,Karnataka High Court,IT Act 66D,8,0.63,0,3578192,80.2,Case Dismissed
CAS-2026-1348,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),16,0.47,2,8956832,77.5,Bail Denied
CAS-2026-1349,Cheque Bounce u/s 138,Supreme Court of India,IT Act 66D,31,0.21,3,9795674,93.4,Case Dismissed
CAS-2026-1350,Contract Violation,Madras High Court,IPC 420 (Cheating),42,0.12,0,5700068,88.1,Bail Granted
CAS-2026-1351,Cheque Bounce u/s 138,Madras High Court,IPC 420 (Cheating),10,0.65,1,8251656,67.4,Case Dismissed
CAS-2026-1352,Contract Violation,Bombay High Court,IPC 120B (Criminal Conspiracy),32,0.82,1,885890,48.1,Injunction Issued
CAS-2026-1353,Criminal Breach of Trust,Madras High Court,IPC 120B (Criminal Conspiracy),34,0.85,0,9410837,68.8,Settlement Agreed
CAS-2026-1354,Contract Violation,Karnataka High Court,IPC 307 (Attempt to Murder),9,0.53,0,4906799,79.5,Bail Granted
CAS-2026-1355,Bail Application,District & Sessions Court,IPC 379 (Theft),17,0.79,0,8153024,75.4,Bail Granted
CAS-2026-1356,Criminal Breach of Trust,Karnataka High Court,IPC 307 (Attempt to Murder),11,0.7,0,8686625,71.9,Bail Granted
CAS-2026-1357,Bail Application,Bombay High Court,IPC 498A (Cruelty),32,0.74,0,3843757,68.4,Bail Granted
CAS-2026-1358,Divorce & Maintenance,Karnataka High Court,IPC 420 (Cheating),10,0.54,0,5359245,59.7,Case Dismissed
CAS-2026-1359,Property Dispute,District & Sessions Court,IT Act 66D,22,0.66,0,5146528,58.9,Injunction Issued
CAS-2026-1360,Contract Violation,Delhi High Court,NI Act 138 (Cheque Bounce),17,0.82,0,7111673,70.0,Bail Denied
CAS-2026-1361,Property Dispute,Bombay High Court,IPC 420 (Cheating),4,0.45,1,2968921,53.0,Injunction Issued
CAS-2026-1362,Property Dispute,Delhi High Court,IPC 420 (Cheating),47,0.82,3,8277039,62.0,Bail Granted
CAS-2026-1363,Contract Violation,Supreme Court of India,IPC 307 (Attempt to Murder),25,0.63,3,3103225,61.2,Case Dismissed
CAS-2026-1364,Criminal Breach of Trust,Delhi High Court,NI Act 138 (Cheque Bounce),21,0.25,0,5737291,74.4,Case Dismissed
CAS-2026-1365,Divorce & Maintenance,Supreme Court of India,NI Act 138 (Cheque Bounce),37,0.12,1,5134253,48.3,Bail Granted
CAS-2026-1366,Bail Application,Supreme Court of India,NI Act 138 (Cheque Bounce),38,0.42,1,4328316,86.5,Case Dismissed
CAS-2026-1367,Cheque Bounce u/s 138,Delhi High Court,IPC 307 (Attempt to Murder),1,0.59,0,9155383,73.1,Bail Granted
CAS-2026-1368,Bail Application,Bombay High Court,IPC 420 (Cheating),25,0.85,0,3678478,78.5,Injunction Issued
CAS-2026-1369,Cheque Bounce u/s 138,District & Sessions Court,IPC 307 (Attempt to Murder),36,0.21,0,8172590,80.2,Settlement Agreed
CAS-2026-1370,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),17,0.81,2,6026983,59.6,Case Dismissed
CAS-2026-1371,Contract Violation,Karnataka High Court,IPC 120B (Criminal Conspiracy),41,0.87,0,6423617,68.5,Bail Granted
CAS-2026-1372,Divorce & Maintenance,District & Sessions Court,IPC 307 (Attempt to Murder),24,0.23,0,554529,92.8,Bail Granted
CAS-2026-1373,Cheque Bounce u/s 138,Supreme Court of India,NI Act 138 (Cheque Bounce),2,0.86,0,9600374,83.3,Case Dismissed
CAS-2026-1374,Cyber Fraud,Supreme Court of India,IPC 420 (Cheating),40,0.98,0,7686288,93.5,Bail Denied
CAS-2026-1375,Criminal Breach of Trust,Bombay High Court,IPC 307 (Attempt to Murder),15,0.75,0,7361511,82.3,Bail Granted
CAS-2026-1376,Bail Application,Madras High Court,IPC 307 (Attempt to Murder),32,0.8,0,9027811,53.8,Case Dismissed
CAS-2026-1377,Bail Application,Delhi High Court,IPC 307 (Attempt to Murder),39,0.99,0,1411629,48.2,Bail Granted
CAS-2026-1378,Cheque Bounce u/s 138,Supreme Court of India,IPC 498A (Cruelty),6,0.64,1,1000542,73.9,Bail Denied
CAS-2026-1379,Criminal Breach of Trust,Karnataka High Court,IPC 120B (Criminal Conspiracy),1,0.37,0,4054780,62.9,Settlement Agreed
CAS-2026-1380,Criminal Breach of Trust,Bombay High Court,IT Act 66D,47,0.85,0,3045759,58.8,Bail Denied
CAS-2026-1381,Contract Violation,Delhi High Court,NI Act 138 (Cheque Bounce),23,0.65,0,8783376,85.4,Injunction Issued
CAS-2026-1382,Cyber Fraud,Bombay High Court,IPC 379 (Theft),39,0.62,0,3452921,63.3,Case Dismissed
CAS-2026-1383,Contract Violation,Delhi High Court,IT Act 66D,17,0.33,0,161264,60.9,Bail Denied
CAS-2026-1384,Contract Violation,Delhi High Court,NI Act 138 (Cheque Bounce),34,0.77,0,5194502,87.5,Settlement Agreed
CAS-2026-1385,Contract Violation,District & Sessions Court,IPC 379 (Theft),41,0.17,1,2559507,87.3,Bail Granted
CAS-2026-1386,Contract Violation,Supreme Court of India,IPC 498A (Cruelty),29,0.92,1,3552097,62.8,Case Dismissed
CAS-2026-1387,Contract Violation,Bombay High Court,IPC 307 (Attempt to Murder),9,0.39,1,7392306,86.6,Bail Denied
CAS-2026-1388,Divorce & Maintenance,Bombay High Court,IPC 498A (Cruelty),13,0.21,0,1318284,87.5,Settlement Agreed
CAS-2026-1389,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),6,0.49,0,7188727,66.2,Bail Denied
CAS-2026-1390,Contract Violation,Karnataka High Court,IT Act 66D,6,0.14,2,3180202,48.3,Injunction Issued
CAS-2026-1391,Criminal Breach of Trust,Karnataka High Court,IPC 420 (Cheating),20,0.71,0,6102874,45.1,Case Dismissed
CAS-2026-1392,Criminal Breach of Trust,Supreme Court of India,IT Act 66D,3,0.9,0,7618933,71.2,Bail Granted
CAS-2026-1393,Property Dispute,Supreme Court of India,IPC 120B (Criminal Conspiracy),17,0.85,0,5483182,62.2,Settlement Agreed
CAS-2026-1394,Divorce & Maintenance,Madras High Court,IPC 379 (Theft),12,0.21,0,4788827,94.9,Bail Denied
CAS-2026-1395,Contract Violation,District & Sessions Court,IPC 307 (Attempt to Murder),47,0.21,0,6617320,83.6,Case Dismissed
CAS-2026-1396,Bail Application,Karnataka High Court,IT Act 66D,45,0.82,3,5892819,83.1,Bail Denied
CAS-2026-1397,Cheque Bounce u/s 138,Delhi High Court,IPC 379 (Theft),1,0.92,0,9110815,92.8,Case Dismissed
CAS-2026-1398,Cyber Fraud,Bombay High Court,NI Act 138 (Cheque Bounce),17,0.51,0,7742139,89.4,Injunction Issued
CAS-2026-1399,Bail Application,Supreme Court of India,IPC 379 (Theft),3,0.54,3,9130672,60.9,Bail Denied
CAS-2026-1400,Divorce & Maintenance,Bombay High Court,NI Act 138 (Cheque Bounce),26,0.38,2,965630,53.3,Injunction Issued
CAS-2026-1401,Cheque Bounce u/s 138,Bombay High Court,IT Act 66D,15,0.9,0,5487691,82.3,Settlement Agreed
CAS-2026-1402,Divorce & Maintenance,Madras High Court,IPC 120B (Criminal Conspiracy),36,0.67,0,4425001,63.9,Injunction Issued
CAS-2026-1403,Criminal Breach of Trust,Karnataka High Court,IT Act 66D,32,0.36,1,3072881,68.7,Case Dismissed
CAS-2026-1404,Cheque Bounce u/s 138,Supreme Court of India,NI Act 138 (Cheque Bounce),32,0.37,1,8201294,76.5,Settlement Agreed
CAS-2026-1405,Criminal Breach of Trust,Bombay High Court,IPC 379 (Theft),4,0.89,0,9798597,90.4,Bail Denied
CAS-2026-1406,Bail Application,Supreme Court of India,IPC 379 (Theft),18,0.11,1,8657286,66.0,Bail Denied
CAS-2026-1407,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),19,0.39,0,5911303,84.2,Case Dismissed
CAS-2026-1408,Cheque Bounce u/s 138,Madras High Court,IPC 498A (Cruelty),43,0.59,0,5379947,58.4,Bail Granted
CAS-2026-1409,Cheque Bounce u/s 138,Delhi High Court,IPC 120B (Criminal Conspiracy),35,0.23,0,9464532,79.9,Bail Granted
CAS-2026-1410,Contract Violation,Supreme Court of India,IPC 420 (Cheating),40,0.18,0,9292397,45.1,Bail Denied
CAS-2026-1411,Divorce & Maintenance,Supreme Court of India,IPC 307 (Attempt to Murder),14,0.83,1,8659531,88.6,Case Dismissed
CAS-2026-1412,Contract Violation,Karnataka High Court,IPC 379 (Theft),33,0.9,0,400406,46.5,Bail Granted
CAS-2026-1413,Divorce & Maintenance,Bombay High Court,IPC 307 (Attempt to Murder),14,0.83,0,617961,80.6,Injunction Issued
CAS-2026-1414,Contract Violation,Bombay High Court,IPC 420 (Cheating),34,0.9,0,1135598,47.3,Bail Denied
CAS-2026-1415,Criminal Breach of Trust,Delhi High Court,IT Act 66D,4,0.59,0,2611902,58.3,Injunction Issued
CAS-2026-1416,Cheque Bounce u/s 138,Madras High Court,IPC 307 (Attempt to Murder),24,0.82,0,7269158,69.9,Case Dismissed
CAS-2026-1417,Bail Application,District & Sessions Court,IPC 420 (Cheating),29,0.44,0,3740377,66.0,Injunction Issued
CAS-2026-1418,Divorce & Maintenance,Bombay High Court,NI Act 138 (Cheque Bounce),19,0.69,0,263944,54.6,Bail Granted
CAS-2026-1419,Divorce & Maintenance,Karnataka High Court,IPC 498A (Cruelty),6,0.98,1,3122345,61.7,Bail Granted
CAS-2026-1420,Bail Application,Delhi High Court,IPC 379 (Theft),33,0.3,0,3069852,81.4,Settlement Agreed
CAS-2026-1421,Contract Violation,Delhi High Court,IPC 420 (Cheating),40,0.45,0,8050630,78.5,Bail Denied
CAS-2026-1422,Divorce & Maintenance,District & Sessions Court,IPC 307 (Attempt to Murder),19,0.53,1,5824827,48.6,Case Dismissed
CAS-2026-1423,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),1,0.22,0,6900541,82.4,Bail Denied
CAS-2026-1424,Criminal Breach of Trust,Madras High Court,IPC 498A (Cruelty),5,0.17,0,4856004,47.7,Injunction Issued
